"Account","Invoice Number","Invoice Date","Invoice Type","Status","Payment Due Date","Created By","Invoice Amount","Invoice Currency","Exchange Rate To USD","Invoice Date Of Issue","Proforma","Exported","Billing Centre"
"BOLIVIANA DE AVIACIÓN - S.E.","Liq038078","2025-01-31","aviation-noniata","PUBLISHED","2025-02-22","Veronica Villano","208,331.76","USD","1.00000","2025-02-12","false","false","EANA Central"
"AMERICAN AIRLINES INC.","Liq038077","2025-01-31","aviation-noniata","PUBLISHED","2025-02-22","Veronica Villano","101,978.41","USD","1.00000","2025-02-12","false","false","EANA Central"
"AMERICAN AIRLINES INC.","Liq038076","2025-01-31","aviation-noniata","PUBLISHED","2025-02-22","Veronica Villano","1,060,604.16","USD","1.00000","2025-02-12","false","false","EANA Central"
"ALBA JET S.A.","Liq038075","2025-01-31","aviation-noniata","PUBLISHED","2025-02-22","Veronica Villano","318.46","USD","1.00000","2025-02-12","false","false","EANA Central"
"ALBA JET S.A.","Liq038074","2025-01-31","aviation-noniata","PUBLISHED","2025-02-22","Veronica Villano","17,881.63","ARS","1.00000","2025-02-12","false","false","EANA Central"
"MILENIUM AIR S.A.","Liq038073","2025-01-31","aviation-noniata","PUBLISHED","2025-02-22","Gonzalo Riccardi","22,331.60","ARS","1.00000","2025-02-12","false","false","EANA Central"
"TRANSPORTES AÉREOS DEL MERCOSUR","Liq038072","2025-01-31","aviation-noniata","PUBLISHED","2025-02-22","Veronica Villano","104,286.61","USD","1.00000","2025-02-12","false","false","EANA Central"
"TAM - LINHAS AEREAS S.A.","Liq038071","2025-01-31","aviation-noniata","PUBLISHED","2025-02-22","Veronica Villano","931,408.01","USD","1.00000","2025-02-12","false","false","EANA Central"
"TAM - LINHAS AEREAS S.A.","Liq038070","2025-01-31","aviation-noniata","PUBLISHED","2025-02-22","Veronica Villano","98,248.73","USD","1.00000","2025-02-12","false","false","EANA Central"
"LAN PERU","Liq038069","2025-01-31","aviation-noniata","PUBLISHED","2025-02-22","Veronica Villano","125,074.01","USD","1.00000","2025-02-12","false","false","EANA Central"
"LAN PERU","Liq038068","2025-01-31","aviation-noniata","PUBLISHED","2025-02-22","Veronica Villano","536,444.15","USD","1.00000","2025-02-12","false","false","EANA Central"
"LAN PERU","Liq038067","2025-01-31","aviation-noniata","PUBLISHED","2025-02-22","Veronica Villano","128.75","USD","1.00000","2025-02-12","false","false","EANA Central"
"AMERICAN JET S.A.","Liq038066","2025-01-31","aviation-noniata","PUBLISHED","2025-02-22","Gonzalo Riccardi","125,759.60","ARS","1.00000","2025-02-12","false","false","EANA Central"
"LAN AIRLINES S.A.","Liq038065","2025-01-31","aviation-noniata","PUBLISHED","2025-02-22","Veronica Villano","1,987,998.79","USD","1.00000","2025-02-12","false","false","EANA Central"
"LAN AIRLINES S.A.","Liq038064","2025-01-31","aviation-noniata","PUBLISHED","2025-02-22","Veronica Villano","796,853.62","USD","1.00000","2025-02-12","false","false","EANA Central"
"MD FLY S.A.","Liq038063","2025-01-31","aviation-noniata","PUBLISHED","2025-02-22","Micaela Soto","174.13","USD","1.00000","2025-02-12","false","false","EANA Central"
"ALAS DEL FIN DEL MUNDO SRL","Liq038062","2025-01-31","aviation-noniata","PUBLISHED","2025-02-22","Veronica Villano","15,000.08","ARS","1.00000","2025-02-12","false","false","EANA Central"
"ALABE SERVICIOS AEREOS S.R.L.","Liq038061","2025-01-31","aviation-noniata","PUBLISHED","2025-02-22","Veronica Villano","48.47","USD","1.00000","2025-02-12","false","false","EANA Central"
"AMERICAN JET S.A.","Liq038060","2025-01-31","aviation-noniata","PUBLISHED","2025-02-22","Gonzalo Riccardi","422.01","USD","1.00000","2025-02-12","false","false","EANA Central"
"GRUPO IMAS S.A.","Liq038059","2025-01-31","aviation-noniata","PUBLISHED","2025-02-22","Gonzalo Riccardi","681.51","USD","1.00000","2025-02-12","false","false","EANA Central"
"GRUPO IMAS S.A.","Liq038058","2025-01-31","aviation-noniata","PUBLISHED","2025-02-22","Gonzalo Riccardi","45,334.57","ARS","1.00000","2025-02-12","false","false","EANA Central"
"ALABE SERVICIOS AEREOS S.R.L.","Liq038057","2025-01-31","aviation-noniata","PUBLISHED","2025-02-22","Veronica Villano","215.58","USD","1.00000","2025-02-12","false","false","EANA Central"
"ALABE SERVICIOS AEREOS S.R.L.","Liq038056","2025-01-31","aviation-noniata","PUBLISHED","2025-02-22","Veronica Villano","282.37","USD","1.00000","2025-02-12","false","false","EANA Central"
"DELTA AIRLINES","Liq038055","2025-01-31","aviation-noniata","PUBLISHED","2025-02-22","Gonzalo Riccardi","440,291.60","USD","1.00000","2025-02-12","false","false","EANA Central"
"AERORUTAS S.A. DE TRANSP. AER","Liq038054","2025-01-31","aviation-noniata","PUBLISHED","2025-02-22","Gonzalo Riccardi","512.12","USD","1.00000","2025-02-12","false","false","EANA Central"
"AERORUTAS S.A. DE TRANSP. AER","Liq038053","2025-01-31","aviation-noniata","PUBLISHED","2025-02-22","Gonzalo Riccardi","32,885.88","ARS","1.00000","2025-02-12","false","false","EANA Central"
"TURKISH AIRLINES CO.","Liq038052","2025-01-31","aviation-noniata","PUBLISHED","2025-02-22","Gonzalo Riccardi","129,535.71","USD","1.00000","2025-02-12","false","false","EANA Central"
"TURKISH AIRLINES CO.","Liq038051","2025-01-31","aviation-noniata","PUBLISHED","2025-02-22","Gonzalo Riccardi","32,143.49","USD","1.00000","2025-02-12","false","false","EANA Central"
"MD FLY S.A.","Liq038050","2025-01-31","aviation-noniata","PUBLISHED","2025-02-22","Micaela Soto","1,310.11","ARS","1.00000","2025-02-12","false","false","EANA Central"
"TAMPA CARGO S.A.","Liq038049","2025-01-31","aviation-noniata","PUBLISHED","2025-02-22","Gonzalo Riccardi","62,804.92","USD","1.00000","2025-02-12","false","false","EANA Central"
"TAMPA CARGO S.A.","Liq038048","2025-01-31","aviation-noniata","PUBLISHED","2025-02-22","Gonzalo Riccardi","19,779.16","USD","1.00000","2025-02-12","false","false","EANA Central"
"LIMA VICTOR S.A.","Liq038047","2025-01-31","aviation-noniata","PUBLISHED","2025-02-22","Micaela Soto","9,812.51","ARS","1.00000","2025-02-12","false","false","EANA Central"
"INVERSIONES PUNTA BRAVA S.A","Liq038046","2025-01-31","aviation-noniata","PUBLISHED","2025-02-22","Micaela Soto","501.46","USD","1.00000","2025-02-12","false","false","EANA Central"
"INVERSIONES PUNTA BRAVA S.A","Liq038045","2025-01-31","aviation-noniata","PUBLISHED","2025-02-22","Micaela Soto","784.55","USD","1.00000","2025-02-12","false","false","EANA Central"
"HELISTAR SAS","Liq038044","2025-01-31","aviation-noniata","PUBLISHED","2025-02-22","Gonzalo Riccardi","993.42","USD","1.00000","2025-02-12","false","false","EANA Central"
"HELISTAR SAS","Liq038043","2025-01-31","aviation-noniata","PUBLISHED","2025-02-22","Gonzalo Riccardi","1,615.52","USD","1.00000","2025-02-12","false","false","EANA Central"
"FLEXJET OPERATIONS MALTA","Liq038042","2025-01-31","aviation-noniata","PUBLISHED","2025-02-22","Micaela Soto","1,338.04","USD","1.00000","2025-02-12","false","false","EANA Central"
"AEROTRUST SERVICIO LIMITADA","Liq038041","2025-01-31","aviation-noniata","PUBLISHED","2025-02-22","Veronica Villano","631.02","USD","1.00000","2025-02-12","false","false","EANA Central"
"AERONAUTICA BARON LTDA","Liq038040","2025-01-31","aviation-noniata","PUBLISHED","2025-02-22","Veronica Villano","49.50","USD","1.00000","2025-02-12","false","false","EANA Central"
"ATLAS AIR","Liq038039","2025-01-31","aviation-noniata","PUBLISHED","2025-02-22","Gonzalo Riccardi","135,070.74","USD","1.00000","2025-02-12","false","false","EANA Central"
"AEROMAX S.A.","Liq038038","2025-01-31","aviation-noniata","PUBLISHED","2025-02-22","Veronica Villano","315.74","USD","1.00000","2025-02-12","false","false","EANA Central"
"ATLAS AIR","Liq038037","2025-01-31","aviation-noniata","PUBLISHED","2025-02-22","Gonzalo Riccardi","84,140.59","USD","1.00000","2025-02-12","false","false","EANA Central"
"AEROMAX S.A.","Liq038036","2025-01-31","aviation-noniata","PUBLISHED","2025-02-22","Veronica Villano","2,307.38","ARS","1.00000","2025-02-12","false","false","EANA Central"
"FLEXJET","Liq038035","2025-01-31","aviation-noniata","PUBLISHED","2025-02-22","Micaela Soto","886.82","USD","1.00000","2025-02-12","false","false","EANA Central"
"FLEXJET","Liq038034","2025-01-31","aviation-noniata","PUBLISHED","2025-02-22","Micaela Soto","1,949.54","USD","1.00000","2025-02-12","false","false","EANA Central"
"FLEXJET","Liq038033","2025-01-31","aviation-noniata","PUBLISHED","2025-02-22","Micaela Soto","297.38","USD","1.00000","2025-02-12","false","false","EANA Central"
"AEROLANE LÍNEAS AÉREAS NACIONALES DEL ECUADOR S.A. - SUCURSAL ARGENTINA","Liq038032","2025-01-31","aviation-noniata","PUBLISHED","2025-02-22","Veronica Villano","105,386.26","USD","1.00000","2025-02-12","false","false","EANA Central"
"EXECUTIVE JET MANAGEMENT INC.","Liq038031","2025-01-31","aviation-noniata","PUBLISHED","2025-02-22","Micaela Soto","3,530.87","USD","1.00000","2025-02-12","false","false","EANA Central"
"SERVICIOS AEREOS PATAGONICOS","Liq038030","2025-01-31","aviation-noniata","PUBLISHED","2025-02-22","Gonzalo Riccardi","78.64","USD","1.00000","2025-02-12","false","false","EANA Central"
"AERO TAX S.A.","Liq038029","2025-01-31","aviation-noniata","PUBLISHED","2025-02-22","Veronica Villano","281.57","USD","1.00000","2025-02-12","false","false","EANA Central"
"ACI JET","Liq038028","2025-01-31","aviation-noniata","PUBLISHED","2025-02-22","Veronica Villano","2,179.58","USD","1.00000","2025-02-12","false","false","EANA Central"
"ACI JET","Liq038027","2025-01-31","aviation-noniata","PUBLISHED","2025-02-22","Veronica Villano","2,684.25","USD","1.00000","2025-02-12","false","false","EANA Central"
"ACI JET","Liq038026","2025-01-31","aviation-noniata","PUBLISHED","2025-02-22","Veronica Villano","1,873.70","USD","1.00000","2025-02-12","false","false","EANA Central"
"LUFTHANSA","Liq038025","2025-01-31","aviation-noniata","PUBLISHED","2025-02-22","Gonzalo Riccardi","47,658.96","USD","1.00000","2025-02-12","false","false","EANA Central"
"AAXOD S.A.","Liq038024","2025-01-31","aviation-noniata","PUBLISHED","2025-02-22","Veronica Villano","152.17","USD","1.00000","2025-02-12","false","false","EANA Central"
"DIGITAL AIR TAXI S.A.","Liq038023","2025-01-31","aviation-noniata","PUBLISHED","2025-02-22","Micaela Soto","70.46","USD","1.00000","2025-02-12","false","false","EANA Central"
"AAXOD S.A.","Liq038022","2025-01-31","aviation-noniata","PUBLISHED","2025-02-22","Veronica Villano","1,091.39","ARS","1.00000","2025-02-12","false","false","EANA Central"
"DIGITAL AIR TAXI S.A.","Liq038021","2025-01-31","aviation-noniata","PUBLISHED","2025-02-22","Micaela Soto","4,587.14","ARS","1.00000","2025-02-12","false","false","EANA Central"
"CHEYENNE S.A","Liq038020","2025-01-31","aviation-noniata","PUBLISHED","2025-02-22","Micaela Soto","108.77","USD","1.00000","2025-02-12","false","false","EANA Central"
"CHEYENNE S.A","Liq038019","2025-01-31","aviation-noniata","PUBLISHED","2025-02-22","Micaela Soto","20,385.09","ARS","1.00000","2025-02-12","false","false","EANA Central"
"BESTFLY ARUBA","Liq038018","2025-01-31","aviation-noniata","PUBLISHED","2025-02-22","Micaela Soto","1,447.71","USD","1.00000","2025-02-12","false","false","EANA Central"
"AVION SUR SA","Liq038017","2025-01-31","aviation-noniata","PUBLISHED","2025-02-22","Micaela Soto","1,796.18","USD","1.00000","2025-02-12","false","false","EANA Central"
"AVION SUR SA","Liq038016","2025-01-31","aviation-noniata","PUBLISHED","2025-02-22","Micaela Soto","15,976.00","ARS","1.00000","2025-02-12","false","false","EANA Central"
"AVIASUR CHARTER","Liq038015","2025-01-31","aviation-noniata","PUBLISHED","2025-02-22","Micaela Soto","330.97","USD","1.00000","2025-02-12","false","false","EANA Central"
"AVIASUR CHARTER","Liq038014","2025-01-31","aviation-noniata","PUBLISHED","2025-02-22","Micaela Soto","1,794.15","USD","1.00000","2025-02-12","false","false","EANA Central"
"LUFTHANSA CARGO","Liq038013","2025-01-31","aviation-noniata","PUBLISHED","2025-02-22","Gonzalo Riccardi","4,882.84","USD","1.00000","2025-02-12","false","false","EANA Central"
"DHL AERO EXPRESO S.A.","Liq038012","2025-01-31","aviation-noniata","PUBLISHED","2025-02-22","Gonzalo Riccardi","147,577.33","USD","1.00000","2025-02-12","false","false","EANA Central"
"SKY AIRLINE PERÚ","Liq038011","2025-01-31","aviation-noniata","PUBLISHED","2025-02-22","Gonzalo Riccardi","53,334.08","USD","1.00000","2025-02-12","false","false","EANA Central"
"SERVICIOS AEREOS SUDAMERICANOS","Liq038010","2025-01-31","aviation-noniata","PUBLISHED","2025-02-22","Gonzalo Riccardi","401.32","USD","1.00000","2025-02-12","false","false","EANA Central"
"JET CLIPPER S.A.","Liq038009","2025-01-31","aviation-noniata","PUBLISHED","2025-02-22","Gonzalo Riccardi","484.13","USD","1.00000","2025-02-12","false","false","EANA Central"
"JET CLIPPER S.A.","Liq038008","2025-01-31","aviation-noniata","PUBLISHED","2025-02-22","Gonzalo Riccardi","766.01","ARS","1.00000","2025-02-12","false","false","EANA Central"
"INTERNATIONAL JET MANAGEMENT","Liq038007","2025-01-31","aviation-noniata","PUBLISHED","2025-02-22","Gonzalo Riccardi","395.67","USD","1.00000","2025-02-12","false","false","EANA Central"
"FAI RENT-A-JET GMBH","Liq038006","2025-01-31","aviation-noniata","PUBLISHED","2025-02-22","Gonzalo Riccardi","144.36","USD","1.00000","2025-02-12","false","false","EANA Central"
"ETHIOPIAN AIRLINES ENTERPRISE","Liq038005","2025-01-31","aviation-noniata","PUBLISHED","2025-02-22","Gonzalo Riccardi","36,661.08","USD","1.00000","2025-02-12","false","false","EANA Central"
"AVION EXPRESS MALTA","Liq038004","2025-01-31","aviation-noniata","PUBLISHED","2025-02-22","Gonzalo Riccardi","124.73","USD","1.00000","2025-02-12","false","false","EANA Central"
"AVIANCA ECUADOR","Liq038003","2025-01-31","aviation-noniata","PUBLISHED","2025-02-22","Gonzalo Riccardi","51,870.93","USD","1.00000","2025-02-12","false","false","EANA Central"
"AVIANCA COSTA RICA SUCURSAL ARGENTINA","Liq038002","2025-01-31","aviation-noniata","PUBLISHED","2025-02-22","Gonzalo Riccardi","126,716.17","USD","1.00000","2025-02-12","false","false","EANA Central"
"AVIANCA AEROVIAS NACIONALES DE COLOMBIA","Liq038001","2025-01-31","aviation-noniata","PUBLISHED","2025-02-22","Gonzalo Riccardi","19,192.69","USD","1.00000","2025-02-12","false","false","EANA Central"
"AVIANCA AEROVIAS NACIONALES DE COLOMBIA","Liq038000","2025-01-31","aviation-noniata","PUBLISHED","2025-02-22","Gonzalo Riccardi","540,448.63","USD","1.00000","2025-02-12","false","false","EANA Central"
"AXIS AVIATION SWITZERLAND AG","Liq037998","2025-01-30","non-aviation","PUBLISHED","2025-02-09","Veronica Villano","1,106.16","USD","1.00000","2025-01-30","false","false","EANA Central"
"LVIAQ","Liq037997","2025-01-23","non-aviation","PUBLISHED","2025-02-02","Veronica Villano","532.12","ARS","0.00095","2025-01-23","false","false","EANA Central"
"N176HS","Liq037996","2025-01-20","non-aviation","PUBLISHED","2025-01-30","Micaela Soto","2,717.54","USD","1.00000","2025-01-20","false","false","EANA Central"
"N585JC","Liq037995","2025-01-20","non-aviation","PUBLISHED","2025-01-30","Micaela Soto","2,577.99","USD","1.00000","2025-01-20","false","false","EANA Central"
"JET CLIPPER S.A.","Liq037993","2025-01-17","non-aviation","PUBLISHED","2025-01-27","Gonzalo Riccardi","1,463.03","ARS","0.00095","2025-01-17","false","false","EANA Central"
"SERVICIOS AEREOS SUDAMERICANOS","Liq037991","2025-01-14","non-aviation","PUBLISHED","2025-01-24","Gonzalo Riccardi","15,527.79","ARS","0.00095","2025-01-14","false","false","EANA Central"
"N888HE","Liq037402","2025-01-09","non-aviation","PUBLISHED","2025-01-19","Martin Andres Almeida","2,425.56","USD","1.00000","2025-01-09","false","false","EANA Central"
"AEROVIAS DAP","Liq037400","2025-01-08","non-aviation","PUBLISHED","2025-01-18","Veronica Villano","4,857.56","USD","1.00000","2025-01-08","false","false","EANA Central"
